osm_id,name,category,subcategory,latitude,longitude,source,collection_date
way/99418393,निधिवन,amenity,place_of_worship,27.5843536,77.6983001,OpenStreetMap,2026-09-10
way/99418402,Swami Bon Maharaj College,amenity,school,27.5707977,77.6790701,OpenStreetMap,2026-09-10
way/99418412,सेवा कुंज,amenity,place_of_worship,27.582402,77.695084,OpenStreetMap,2026-09-10
way/99418417,श्री रंगनाथ मंदिर,amenity,place_of_worship,27.5823375,77.7027746,OpenStreetMap,2026-09-10
way/99427126,Govinda Kund,amenity,place_of_worship,27.5742188,77.6993779,OpenStreetMap,2026-09-10
way/99427138,Govind Dev Temple,amenity,place_of_worship,27.5814379,77.6994134,OpenStreetMap,2026-09-10
way/120531775,"Shri Krishna Janmasthan Temple, Mathura",amenity,place_of_worship,27.5047707,77.669705,OpenStreetMap,2026-09-10
way/169830344,Shahi Mosque Eidgah,amenity,place_of_worship,27.5054261,77.6696934,OpenStreetMap,2026-09-10
way/229134115,Shri Krishna Garbh Gruha,amenity,place_of_worship,27.5054273,77.6693341,OpenStreetMap,2026-09-10
way/334201981,Unnamed,amenity,parking,27.5721016,77.6783032,OpenStreetMap,2026-09-10
way/334201989,Bhaktivedanta Gurukul,amenity,school,27.5723514,77.677877,OpenStreetMap,2026-09-10
way/334202001,श्री श्री कृष्ण-बलराम मंदिर,amenity,place_of_worship,27.5724629,77.6777276,OpenStreetMap,2026-09-10
way/334202007,Unnamed,amenity,post_office,27.5722102,77.6781096,OpenStreetMap,2026-09-10
way/334669314,Sripad Prabodhananda Sarasvati Samadhi,amenity,place_of_worship,27.5780658,77.6847832,OpenStreetMap,2026-09-10
way/334669919,Kaliya Ghata,amenity,place_of_worship,27.578328,77.6846537,OpenStreetMap,2026-09-10
way/334671983,मदन मोहन मंदिर,amenity,place_of_worship,27.5802525,77.6876099,OpenStreetMap,2026-09-10
way/334671985,Unnamed,amenity,place_of_worship,27.5800186,77.6871515,OpenStreetMap,2026-09-10
way/334674939,Sri Radha Damodara Mandir,amenity,place_of_worship,27.5837612,77.6956061,OpenStreetMap,2026-09-10
way/335527342,Sri Gopal Bhatta Samadhi Mandir,amenity,place_of_worship,27.5857061,77.6986598,OpenStreetMap,2026-09-10
way/335527344,Sri Radha Raman Mandir,amenity,place_of_worship,27.5853793,77.6987246,OpenStreetMap,2026-09-10
way/335534876,Sri Giriraja Govardhan (Govardhan Parvat),amenity,place_of_worship,27.4771542,77.4467821,OpenStreetMap,2026-09-10
way/335565194,Harideva Mandir,amenity,place_of_worship,27.496892,77.4642869,OpenStreetMap,2026-09-10
way/335565195,Madhavendra Puri Bhadjan Kutir,amenity,place_of_worship,27.4687933,77.4397895,OpenStreetMap,2026-09-10
way/335565200,Manasi Ganga,amenity,place_of_worship,27.4989529,77.463881,OpenStreetMap,2026-09-10
way/335565202,Sanatana Goswami Bhajan Kutir,amenity,place_of_worship,27.4983911,77.4640212,OpenStreetMap,2026-09-10
way/335568945,GIRIRAJJI MUKHARVIND,amenity,place_of_worship,27.4733685,77.4426153,OpenStreetMap,2026-09-10
way/335568946,Radha Uddhava Bihari Temple,amenity,place_of_worship,27.5139516,77.4765091,OpenStreetMap,2026-09-10
way/335568949,Unnamed,amenity,place_of_worship,27.5241322,77.486216,OpenStreetMap,2026-09-10
way/335571304,Samadhi Raghunath das goswami,amenity,place_of_worship,27.5257026,77.4914164,OpenStreetMap,2026-09-10
way/335852213,श्री राधा गोकुलानंद मंदिर,amenity,place_of_worship,27.5861973,77.6987825,OpenStreetMap,2026-09-10
way/430061161,Kusum Sarovar,amenity,place_of_worship,27.5119788,77.4783952,OpenStreetMap,2026-09-10
way/491803653,Prem Mandir,amenity,place_of_worship,27.5720921,77.6720373,OpenStreetMap,2026-09-10
way/491875572,Dwarikadeesh Temple,amenity,place_of_worship,27.5051686,77.6848965,OpenStreetMap,2026-09-10
way/558620803,Baba Jai Guru Dev Mandir,amenity,place_of_worship,27.4759293,77.6573136,OpenStreetMap,2026-09-10
way/558621084,Sainik,amenity,restaurant,27.4439767,77.6892218,OpenStreetMap,2026-09-10
node/617763098,Indian Oil,amenity,fuel,27.5621729,77.6259754,OpenStreetMap,2026-09-10
