State,District,Subdistt,village_code,Level,name,TRU,households,population_total,population_male,population_female,literate_total,literate_male,literate_female,illiterate_total,illiterate_male,illiterate_female,workers_total,workers_male,workers_female,cultivators,agri_labourers,household_industry_workers,non_workers
9,145,0,0,DISTRICT,Mathura,Total,423125,2547184,1367125,1180059,1507746,943346,564400,1039438,423779,615659,840939,635142,205797,190792,89865,27252,1706245
9,145,0,0,DISTRICT,Mathura,Rural,292881,1791191,962028,829163,1021669,658485,363184,769522,303543,465979,615471,442603,172868,181684,81590,18064,1175720
9,145,0,0,DISTRICT,Mathura,Urban,130244,755993,405097,350896,486077,284861,201216,269916,120236,149680,225468,192539,32929,9108,8275,9188,530525
9,145,761,0,SUB-DISTRICT,Chhata,Total,91096,569021,306176,262845,299307,195383,103924,269714,110793,158921,201747,141038,60709,63061,21604,5111,367274
9,145,761,0,SUB-DISTRICT,Chhata,Rural,71497,449536,242564,206972,230111,153180,76931,219425,89384,130041,167219,111733,55486,58118,19906,4439,282317
9,145,761,0,SUB-DISTRICT,Chhata,Urban,19599,119485,63612,55873,69196,42203,26993,50289,21409,28880,34528,29305,5223,4943,1698,672,84957
9,145,762,0,SUB-DISTRICT,Mat,Total,72571,439127,235378,203749,254975,163746,91229,184152,71632,112520,153394,109629,43765,43012,21504,4960,285733
9,145,762,0,SUB-DISTRICT,Mat,Rural,71228,430136,230612,199524,249253,160326,88927,180883,70286,110597,150656,107512,43144,42765,21402,4851,279480
9,145,762,0,SUB-DISTRICT,Mat,Urban,1343,8991,4766,4225,5722,3420,2302,3269,1346,1923,2738,2117,621,247,102,109,6253
9,145,763,0,SUB-DISTRICT,Mahavan,Total,57196,351792,188678,163114,212742,134399,78343,139050,54279,84771,121532,88045,33487,27549,20937,4881,230260
9,145,763,0,SUB-DISTRICT,Mahavan,Rural,48380,296444,159351,137093,179576,114712,64864,116868,44639,72229,105298,74425,30873,26777,19565,3542,191146
9,145,763,0,SUB-DISTRICT,Mahavan,Urban,8816,55348,29327,26021,33166,19687,13479,22182,9640,12542,16234,13620,2614,772,1372,1339,39114
9,145,764,0,SUB-DISTRICT,Mathura,Total,202262,1187244,636893,550351,740722,449818,290904,446522,187075,259447,364266,296430,67836,57170,25820,12300,822978
9,145,764,0,SUB-DISTRICT,Mathura,Rural,101776,615075,329501,285574,362729,230267,132462,252346,99234,153112,192298,148933,43365,54024,20717,5232,422777
9,145,764,0,SUB-DISTRICT,Mathura,Urban,100486,572169,307392,264777,377993,219551,158442,194176,87841,106335,171968,147497,24471,3146,5103,7068,400201
