State,District,Subdistt,village_code,name,households,population_total,population_male,population_female,literate_total,literate_male,literate_female,illiterate_total,illiterate_male,illiterate_female,workers_total,workers_male,workers_female,cultivators,agri_labourers,household_industry_workers,non_workers,latitude,longitude,location_precision
9,145,761,123578,Mandora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7239,77.5029,block_centroid_approximation
9,145,761,123579,Kamar,1153,7031,3898,3133,3770,2588,1182,3261,1310,1951,2751,1747,1004,1016,195,25,4280,27.7239,77.5029,block_centroid_approximation
9,145,761,123580,Hulwana,573,3457,1901,1556,1829,1222,607,1628,679,949,1107,849,258,561,41,16,2350,27.7239,77.5029,block_centroid_approximation
9,145,761,123581,Kadauna,456,2887,1570,1317,1560,1053,507,1327,517,810,1126,705,421,349,63,27,1761,27.7239,77.5029,block_centroid_approximation
9,145,761,123582,Sirthala,398,2445,1307,1138,1298,862,436,1147,445,702,1443,807,636,299,268,2,1002,27.7239,77.5029,block_centroid_approximation
9,145,761,123583,Garhi Barwari,175,1164,621,543,649,440,209,515,181,334,755,416,339,168,6,2,409,27.7239,77.5029,block_centroid_approximation
9,145,761,123584,Ledari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7239,77.5029,block_centroid_approximation
9,145,761,123585,Pakharpur,83,442,235,207,183,122,61,259,113,146,121,108,13,17,24,0,321,27.7239,77.5029,block_centroid_approximation
9,145,761,123586,Puthari,61,465,266,199,228,158,70,237,108,129,101,93,8,77,4,0,364,27.7239,77.5029,block_centroid_approximation
9,145,761,123587,Ruthari,27,190,98,92,116,80,36,74,18,56,54,45,9,40,1,1,136,27.7239,77.5029,block_centroid_approximation
9,145,761,123588,Lalpur,503,3151,1735,1416,1862,1252,610,1289,483,806,1610,866,744,525,165,19,1541,27.7239,77.5029,block_centroid_approximation
9,145,761,123589,Dahgaon,685,4447,2402,2045,2484,1615,869,1963,787,1176,2082,1261,821,998,162,70,2365,27.7239,77.5029,block_centroid_approximation
9,145,761,123590,Umrala,187,1204,647,557,704,465,239,500,182,318,621,322,299,160,73,5,583,27.7239,77.5029,block_centroid_approximation
9,145,761,123591,Kotban,802,5193,2741,2452,3013,1879,1134,2180,862,1318,1273,1194,79,579,29,19,3920,27.7239,77.5029,block_centroid_approximation
9,145,761,123592,Nabipur,275,1732,925,807,1000,651,349,732,274,458,500,417,83,117,21,13,1232,27.7239,77.5029,block_centroid_approximation
9,145,761,123593,Hatana,913,5872,3203,2669,3392,2272,1120,2480,931,1549,2003,1399,604,737,248,28,3869,27.7239,77.5029,block_centroid_approximation
9,145,761,123594,Kharauth,860,5294,2845,2449,2574,1731,843,2720,1114,1606,2536,1503,1033,607,330,33,2758,27.7239,77.5029,block_centroid_approximation
9,145,761,123595,Barchawali,572,3486,1864,1622,1948,1268,680,1538,596,942,1083,839,244,295,162,25,2403,27.7239,77.5029,block_centroid_approximation
9,145,761,123596,Hasanpur Nagla,278,1605,862,743,907,620,287,698,242,456,348,325,23,94,1,3,1257,27.7239,77.5029,block_centroid_approximation
9,145,761,123597,Kosikalan(Rural),891,5091,2735,2356,2802,1774,1028,2289,961,1328,1510,1220,290,139,94,39,3581,27.7239,77.5029,block_centroid_approximation
9,145,761,123598,Bathain Khurd,424,2717,1509,1208,1574,1017,557,1143,492,651,1110,672,438,375,36,0,1607,27.7239,77.5029,block_centroid_approximation
9,145,761,123599,Bathain Kalan,1126,7187,3935,3252,4113,2693,1420,3074,1242,1832,2695,1647,1048,810,265,22,4492,27.7239,77.5029,block_centroid_approximation
9,145,761,123600,Surwari,280,1801,965,836,990,668,322,811,297,514,524,404,120,147,12,8,1277,27.7239,77.5029,block_centroid_approximation
9,145,761,123601,Barhana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7239,77.5029,block_centroid_approximation
9,145,761,123602,Ajijpur,516,3152,1671,1481,2015,1266,749,1137,405,732,1027,774,253,215,73,7,2125,27.7239,77.5029,block_centroid_approximation
9,145,761,123603,Mahnaki,32,216,109,107,109,70,39,107,39,68,59,50,9,42,6,0,157,27.7239,77.5029,block_centroid_approximation
9,145,761,123604,Sanchauli,482,3222,1702,1520,1732,1123,609,1490,579,911,1287,778,509,732,184,2,1935,27.7239,77.5029,block_centroid_approximation
9,145,761,123605,Khitwita,288,1724,928,796,1031,680,351,693,248,445,830,451,379,165,230,39,894,27.7239,77.5029,block_centroid_approximation
9,145,761,123606,Gidoh,776,5000,2718,2282,2738,1796,942,2262,922,1340,1514,1157,357,765,235,34,3486,27.7239,77.5029,block_centroid_approximation
9,145,761,123607,Bhadokhar,244,1511,811,700,844,524,320,667,287,380,334,313,21,109,38,5,1177,27.7239,77.5029,block_centroid_approximation
9,145,761,123608,Mahrana,521,3326,1836,1490,1947,1315,632,1379,521,858,1097,795,302,434,307,20,2229,27.7239,77.5029,block_centroid_approximation
9,145,761,123609,Badangarh,242,1534,848,686,874,583,291,660,265,395,399,372,27,228,75,4,1135,27.7239,77.5029,block_centroid_approximation
9,145,761,123610,Loharwari,137,846,475,371,337,251,86,509,224,285,237,212,25,216,0,0,609,27.7239,77.5029,block_centroid_approximation
9,145,761,123611,Nandgaon(Rural),29,161,95,66,103,68,35,58,27,31,68,41,27,44,2,0,93,27.7239,77.5029,block_centroid_approximation
9,145,761,123612,Bijwari,204,1241,657,584,714,469,245,527,188,339,333,295,38,171,97,0,908,27.7239,77.5029,block_centroid_approximation
9,145,761,123613,Lodhauli,83,604,315,289,302,196,106,302,119,183,143,122,21,79,19,0,461,27.7239,77.5029,block_centroid_approximation
9,145,761,123614,Kamal Pur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7239,77.5029,block_centroid_approximation
9,145,761,123615,Sanket,406,2444,1299,1145,1369,880,489,1075,419,656,1027,574,453,416,125,15,1417,27.7239,77.5029,block_centroid_approximation
9,145,761,123616,Rithaura,444,2887,1530,1357,1441,958,483,1446,572,874,1105,692,413,489,200,32,1782,27.7239,77.5029,block_centroid_approximation
9,145,761,123617,Unchagaon,500,3139,1678,1461,1544,1017,527,1595,661,934,1171,733,438,415,76,2,1968,27.7239,77.5029,block_centroid_approximation
9,145,761,123618,Gajipur,200,1083,581,502,639,434,205,444,147,297,246,236,10,130,74,0,837,27.7239,77.5029,block_centroid_approximation
9,145,761,123619,Barsana(Rural),438,2544,1354,1190,1283,803,480,1261,551,710,1041,655,386,136,40,66,1503,27.7239,77.5029,block_centroid_approximation
9,145,761,123620,Khor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7239,77.5029,block_centroid_approximation
